feature,mean_abs_shap,mean_shap,feature_group
lex_liwc_Dash,0.024535840566148853,0.00037761096293408204,liwc
lex_liwc_cause,0.02344422213668116,0.00019203861039880093,liwc
lex_liwc_number,0.02196805092262732,-0.0015843795597942384,liwc
lex_liwc_family,0.02128065896291081,-0.0011489868352077758,liwc
lex_liwc_SemiC,0.02125575368979124,-0.003253153402063102,liwc
lex_liwc_adj,0.019903165923573083,-0.0006024761293487943,liwc
lex_liwc_motion,0.018700640149902255,0.0007850305775707595,liwc
lex_liwc_female,0.018286520616337888,0.0017795438416795637,liwc
lex_liwc_assent,0.017797519691608053,0.00016927351247480384,liwc
lex_liwc_relig,0.017076784554318044,0.002480058906237558,liwc
lex_liwc_filler,0.015283217106452269,-0.0005664378796985118,liwc
social_timestamp,0.015183963501481844,-0.0018365178455296356,social
social_upvote_ratio,0.014354833604162606,0.0008026297050534914,social
lex_liwc_health,0.012073926106888795,0.0007816555323680459,liwc
syntax_fk_grade,0.011663062363215662,0.001096605906898954,syntax_readability
lex_liwc_achieve,0.01129894521523214,-0.0006689499321034366,liwc
lex_liwc_verb,0.008493473701911393,-0.00012456223507825717,liwc
lex_liwc_we,0.0050763895325963045,0.00030253820621628573,liwc
lex_liwc_relativ,0.004154701974267304,0.00016909607923067506,liwc
lex_liwc_money,0.0017040029290489214,0.00019697899432206343,liwc
lex_liwc_Authentic,0.001097802749869107,-4.1980734447929396e-07,liwc
lex_liwc_time,0.0007746747614379214,8.368585494425654e-05,liwc
lex_dal_min_imagery,1.635134547672119e-06,-1.635134547672117e-06,dal
