feature,coefficient,absolute_coefficient,feature_group
lex_liwc_sexual,0.06789664365810341,0.06789664365810341,liwc
lex_liwc_nonflu,0.06785616371830575,0.06785616371830575,liwc
lex_liwc_reward,0.06399209385761057,0.06399209385761057,liwc
lex_liwc_Colon,-0.06372729733913901,0.06372729733913901,liwc
lex_liwc_Analytic,-0.062496847055185246,0.062496847055185246,liwc
lex_liwc_Parenth,-0.06188980272283031,0.06188980272283031,liwc
social_num_comments,0.06071942751210991,0.06071942751210991,social
lex_liwc_certain,0.059000850100548764,0.059000850100548764,liwc
lex_dal_avg_activation,0.055482659047321504,0.055482659047321504,dal
lex_liwc_Dash,-0.05514568673467157,0.05514568673467157,liwc
lex_liwc_SemiC,-0.054116695913794415,0.054116695913794415,liwc
lex_liwc_Period,0.05330412850338674,0.05330412850338674,liwc
lex_liwc_quant,-0.051212408931195115,0.051212408931195115,liwc
lex_liwc_filler,-0.04942773478817576,0.04942773478817576,liwc
lex_dal_max_activation,0.043045256698987865,0.043045256698987865,dal
lex_liwc_Sixltr,0.04186850120687675,0.04186850120687675,liwc
lex_liwc_assent,0.041413774124385655,0.041413774124385655,liwc
syntax_ari,-0.03877363980849288,0.03877363980849288,syntax_readability
lex_liwc_relig,-0.037078009076449425,0.037078009076449425,liwc
lex_dal_max_pleasantness,-0.03538478851824321,0.03538478851824321,dal
lex_liwc_cause,-0.03079207012540102,0.03079207012540102,liwc
lex_liwc_number,0.029784817856334217,0.029784817856334217,liwc
lex_liwc_family,0.028684310780198456,0.028684310780198456,liwc
lex_liwc_adj,-0.025688363868629667,0.025688363868629667,liwc
lex_liwc_motion,-0.023655214370740828,0.023655214370740828,liwc
lex_liwc_female,-0.02254392898544069,0.02254392898544069,liwc
social_timestamp,-0.018414649704180025,0.018414649704180025,social
lex_liwc_health,0.017639412522631296,0.017639412522631296,liwc
social_upvote_ratio,0.01736016620928381,0.01736016620928381,social
syntax_fk_grade,-0.015756695963062253,0.015756695963062253,syntax_readability
lex_liwc_achieve,0.015415150852232516,0.015415150852232516,liwc
lex_liwc_verb,-0.011065806396843176,0.011065806396843176,liwc
lex_liwc_we,-0.007298395857384612,0.007298395857384612,liwc
lex_liwc_relativ,-0.005268799996574982,0.005268799996574982,liwc
lex_liwc_money,-0.0026625217770479145,0.0026625217770479145,liwc
lex_liwc_Authentic,-0.001268483813186857,0.001268483813186857,liwc
lex_liwc_time,0.0009954675467592382,0.0009954675467592382,liwc
lex_dal_min_imagery,-2.6567351806103294e-05,2.6567351806103294e-05,dal
